StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Carolina,NC,76571764.5854,67924682.425975,63401200.057835,57661766.180771,60200851.834611,56866364.856436,57161098.040066,50759725.419966,52163380.597884,49416098.367092,40174416.583955,44095840.883853
North Dakota,ND,37329659.538626,37400826.86025,38853644.313633,37245256.576,37893703.532,41123627.482,39855175.084,40131270.28,44108534.6180657,42705557.1772415,38826227.5724419,39728979.1380661
Ohio,OH,145003450.592595,140057870.665812,126843565.097298,131825870.547,131367594.632,116681892.956,112421210.418,112704138.175,109549723.57,101533450.4992,100646511.5098,104031655.6848
Oklahoma,OK,68132071.016088,88305426.979425,88180129.837981,84087154.589,84474792.471,82669571.02213,79360746.1574,75440366.8368,78097610.3643259,70292600.5620158,61826141.8987922,61293096.6373853
Oregon,OR,13661060.948807,10641584.2639054,11347795.6348048,13355557.7622014,12594757.534481,13107804.7861593,12131790.6146034,11946150.437642,12831632.454893,15110009.643521,13524618.310618,12963524.5363413
Pennsylvania,PA,149798613.319256,155764320.844518,144233500.539696,146753277.019,137418810.819,129442329.21973,124186145.66826,121487376.224,119311582.461391,120576153.829443,109558324.56234,115993274.67715
Rhode Island,RI,3642999.382,4086826.268,4013539.132,3030877.294,2994200.05,3299446.792,3029421.8,3389205.773,3682040.875,3361294.323,3634966.786,3774990.446
South Carolina,SC,49257145.472583,46436935.349,42213564.009412,37387664.488,42687193.145,39493257.453,37518157.416,34049424.929,37973611.492,33731727.297,31902866.86,34832570.414
South Dakota,SD,6355436.444,5865640.784,5912499.39,6317738.23,6548518.72,5191620.94,5933674.626,5848717.064,6159900.082,6708644.36,5400161.97,5671800.496
Tennessee,TN,51990239.259738,50861775.502481,48999756.682746,45082112.532,48027829.566,43825847.557,45899594.031,43366001.145,37558885.789,36285180.123,30405255.305,35031357.2246
Texas,TX,367202577.570691,433262594.114358,420313034.42579,435422096.369379,436764480.196346,424543915.821486,437848255.738287,444598709.583242,455350307.987387,461020809.518288,423916969.333533,424072997.204294
Utah,UT,41255201.792025,43243417.0090983,41471652.3188214,44665099.8827223,44001208.2754023,42534124.1142677,36986866.2382896,36386114.1316545,37061328.1219373,36683837.1217561,33817143.617849,38047601.0050085
Vermont,VT,288909.25,663797.6096,615030.3169,532414.8842,504407.08888,509491.209242,458215.365228,435206.6993,440835.800627,467825.341656,437124.929342,446168.465097
Virginia,VA,46862927.175733,45533629.5704332,42077798.2070613,47124918.5293457,45951338.1127204,46332547.4098391,48688627.1523108,43903147.7255713,45108795.2758213,42202080.9512669,43571790.4006992,38630490.8740268
Washington,WA,25804953.772275,20742729.6905,19154006.62765,25339921.8733,25023519.80199,23794938.890669,22621404.294972,23003862.663106,22985082.041833,27346641.702105,23289531.72606,21944182.157451
West Virginia,WV,79356290.345605,90122172.6907732,84813771.9176886,87139003.7829132,93483548.6702982,86969489.06706,88509903.590465,85131913.44132,78130156.074755,73845595.674845,65820517.13881,74744225.664995
Wisconsin,WI,55890166.612995,55292922.761499,49602257.37314,55353322.324,52023701.284,53491896.586,49758627.774,52159830.022,50214749.728,42879305.744,39920923.48,44003566.614
Wyoming,WY,59690537.547,64948766.584,67370017.538,67746712.618,62817088.366,63161563.942,59000603.286,61608526.154,60657150.162,55905129.918,53789239.354,51683749.15
Puerto Rico,PR,15202686.41125,15328931.57245,14528962.81645,12818119.49,12181408.182,12894782.898,10250718.794,8903533.15,8421908.386,7970707.294,10424127.358,2032470.4552
